GRIN_accessionID,GRIN_ACCESSION,GRIN_PLANT_NAME,GRIN_TAXONOMY,GRIN_GENEBANK,GRIN_ORIGIN,GRIN_DbID,passQC,missingness_rate,Vv_ancestry_pct,NA1_ancestry_pct,NA2_ancestry_pct,Mus_ancestry_pct,EA_ancestry_pct,vivc_prime_name,vivc_number,vivc_country_origin,vivc_species,vivc_color,vivc_parent1,vivc_parent2,vivc_pedigree_confirmed,match_methods,n_confirming_methods,origin_crossval,species_crossval,ambiguous_flag
PI_588701,PI 588701,Challenger,Vitis hybr.,GEN,"Missouri, United States",1013661.0,True,0.09,71.3,1.0,27.7,0.0,0.0,CHALLENGE,2425,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,CONCORD,CHASSELAS BLANC,,M5_fuzzy(r=0.947),1,MISMATCH,OK,False
PI_588698,PI 588698,Seyve Villard 46-434,Vitis hybr.,GEN,United States,1013632.0,True,0.39,56.8,36.5,6.6,0.0,0.0,SEYVE VILLARD 46- 434,11676,FRANCE,VITIS INTERSPECIFIC CROSSING,BLANC,,,,M3_umlaut|M4_hybrid_spacing,2,MISMATCH,OK,False
PI_588697,PI 588697,Seyve Villard 64-209,Vitis hybr.,GEN,France,1013619.0,True,0.23,63.8,30.9,5.4,0.0,0.0,SEYVE VILLARD 64- 209,20485,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,SEYVE VILLARD 18- 235,SEYVE VILLARD 36- 152,,M3_umlaut|M4_hybrid_spacing,2,OK,OK,False
PI_588694,PI 588694,Seyve Villard 56-411,Vitis hybr.,GEN,France,1013592.0,True,0.42,56.2,35.2,8.0,0.0,0.6,SEYVE VILLARD 56- 411,20487,FRANCE,VITIS INTERSPECIFIC CROSSING,,,,,M3_umlaut|M4_hybrid_spacing,2,OK,OK,False
PI_588693,PI 588693,Ivan,Vitis hybr.,GEN,Hungary,1013585.0,True,0.11,43.1,50.6,6.3,0.0,0.0,IVAN,5590,HUNGARY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,PARMAK CERVEN,MATHIASZ JANOSNE,view,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,MISMATCH,True
PI_597130,PI 597130,Eclipse,Vitis hybr.,GEN,"Illinois, United States",1004753.0,True,0.14,0.9,96.1,3.0,0.0,0.0,ECLIPSE,3811,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,True
PI_597132,PI 597132,Hector,Vitis hybr.,GEN,"New York, United States",1004807.0,True,0.08,76.6,0.0,23.4,0.0,0.0,HECTOR,5337,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,ROSE,CHASSELAS ROSE,BROCTON,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597136,PI 597136,Bertille Seyve 6283,Vitis hybr.,GEN,France,1005253.0,True,0.18,43.4,43.4,13.2,0.0,0.0,BERTILLE SEYVE 6283,1277,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_597231,PI 597231,Vivant,Vitis hybr.,GEN,"Ontario, Canada",1007341.0,True,0.32,63.7,19.9,16.4,0.0,0.0,VIVANT,13128,CANADA,VITIS INTERSPECIFIC CROSSING,BLANC,VINELAND 50154,NEW YORK 25681,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_597230,PI 597230,Kay Gray,Vitis hybr.,GEN,"Wisconsin, United States",1007326.0,True,0.13,14.5,34.3,51.2,0.0,0.0,KAY GRAY,6051,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,ELMER SWENSON 217,ONAKA,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
