child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
Tinto Do Aurelio,MARUFO,Parent 1,SNP,SNP,231,67,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=67
Tinto Do Aurelio,TINTA POMAR,Parent 2,SNP,SNP,231,67,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=67
TINTA MARTINS,MARUFO,Parent 1,SNP,SNP,231,70.3,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=70.3
TINTA MARTINS,GRACIANO,Parent 2,SNP,SNP,231,70.3,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=70.3
TINTA MESQUITA,MARUFO,Parent 1,SNP,SNP,231,56.6,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=56.6
TINTA MESQUITA,VINHÃO,Parent 2,SNP,SNP,231,56.6,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=56.6
TINTA FONTES,ARINTO,Parent 1,SNP,SNP,231,52.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=52.7
TINTA FONTES,TROUSSEAU NOIR,Parent 2,SNP,SNP,231,52.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=52.7
RICOCA,MARUFO,Parent 1,SNP,SNP,231,61.1,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=61.1
RICOCA,TROUSSEAU NOIR,Parent 2,SNP,SNP,231,61.1,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=61.1
TINTA DE TABUACO,TROUSSEAU NOIR,Parent 1,SNP,SNP,231,67.8,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=67.8
TINTA DE TABUACO,CASTELLANA BLANCA,Parent 2,SNP,SNP,231,67.8,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=67.8
VALDOSA,MARUFO,Parent 1,SNP,SNP,231,64.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=64.7
VALDOSA,CORNIFESTO,Parent 2,SNP,SNP,231,64.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=64.7
TINTINHA,CASTELAO,Parent 1,SNP,SNP,231,68,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=68
TINTINHA,ALICANTE HENRI BOUSCHET,Parent 2,SNP,SNP,231,68,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=68
TINTO DE PEGOES,CASTELAO,Parent 1,SNP,SNP,231,61.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=61.7
TINTO DE PEGOES,ALICANTE HENRI BOUSCHET,Parent 2,SNP,SNP,231,61.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=61.7
