alias,canonical_vivc_name,source,match_score
EARLY WONDER,FIOLETOVYI RANNII,synonym (EARLY WONDER),100.0
SYRIAN,NEHELESCOL,synonym (SYRIAN),100.0
NEBBIOLO FINO,NEBBIOLO DU PIEMONT,synonym (NEBBIOLO FINO),100.0
JOHN VIOLA,BETA,synonym (JOHN VIOLA),100.0
MUSCAT OF HUNGARY,PECSI SZAGOS,synonym (MUSCAT OF HUNGARY),100.0
COUDERC 18-815,CASTEL   188- 15,synonym (COUDERC 18-815),100.0
COUDSI,DABOUKI,synonym (COUDSI),100.0
TINTA MOLE,MOLAR,synonym (TINTA MOLE),100.0
BLACK KISHMISH,KISHMISH CHERNYI,synonym (BLACK KISHMISH),100.0
KYOHO,KYOHO (4N),synonym (KYOHO),100.0
SENATOR,FRUEHGIPFLER,synonym (SENATOR),100.0
VIRGINIA,CYNTHIANA,synonym (VIRGINIA),100.0
ATHENS C,ATHENS,synonym (ATHENS C),100.0
JERUSALEM,NEHELESCOL,synonym (JERUSALEM),100.0
HARSLEVELU,HARSLEVELUE,tier1_auto,95.0
HOSSZUNYELU,HOSSZUNYELUE,tier1_auto,95.0
KEKNYELU,KEKNYELUE,tier1_auto,95.0
SIBIRKOVY,SIBIRKOVYI,tier1_auto,95.0
YALOVA CEKIRDEKSIZ,YALOVA CEKIRDEKSIZI,tier1_auto,95.0
MUSKATELLER GELB,MUSKATELLER GELBER,tier1_auto,95.0
PLAVAI,PLAVAIE,tier1_auto,95.0
HUMAGNE BLANC,HUMAGNE BLANCHE,tier1_auto,95.0
PRIETO PICUDO,PRIETO PICUDO TINTO,tier1_auto,95.0
PLAVINA,PLAVINA CRNA,tier1_auto,95.0
TORTOZON,TORTOZONA TINTA,tier1_auto,95.0
BACHET,BACHET NOIR,tier1_auto,95.0
REDONDAL,REDONDAL BLANC,tier1_auto,95.0
RAZAKLIJA,RAZAKLIJA CRNA,tier1_auto,95.0
PELOURSIN N,PELOURSIN NOIR,tier1_auto,95.0
ASKERI,ASKERI SARI,tier1_auto,95.0
BALINT,BALINT WEISS,tier1_auto,95.0
JAVOR GROSS,JAVOR GROSS WEISS,tier1_auto,95.0
MALVASIA DI SARDEGNA,MALVASIA DI SARDEGNA ROSADA,tier1_auto,95.0
MOSCATEL DE HAMBURGO,MOSCATEL DE HAMBURGO BRANCO,tier1_auto,95.0
HUBBARD,HUBBARD SEEDLESS,tier1_auto,95.0
NIAGARA BRANCA,NIAGARA BRANCA OVAL,tier1_auto,95.0
SULTANINA BIANCA,SULTANINA BIANCA DI RODI,tier1_auto,95.0
FRAPPATO,FRAPPATO DI VITTORIA,tier1_auto,95.0
ZAGARESE,ZAGARESE DI PUGLIA,tier1_auto,95.0
MANTONICO NERO,MANTONICO NERO INZENGA,tier1_auto,95.0
CALLET CAS CONCOS,CALLET CAS CONCOS BLANCO,tier1_auto,95.0
VITOUSKA,VITOUSKA GARGANIJA,tier1_auto,95.0
DARANYI IGNAC,DARANYI IGNAC MUSKOTALY,tier1_auto,95.0
BENEDICTO FALSO,BENEDICTO FALSO DE ARAGON,tier1_auto,95.0
CRIOLLA GRANDE,CRIOLLA GRANDE SANJUANINA,tier1_auto,95.0
DAPHNI,DAPHNIA,tier1_auto,95.0
MUSCATE,MUSCATEDDU,tier1_auto,95.0
BELDI,BELDI CT2,tier1_auto,95.0
EKIM KARA FAUX,EKIM KARA FAUX (COLLECTION CONEGLIANO),tier1_auto,95.0
VITIS BERLANDIERI,VITIS BERLANDIERI PLANCHON,tier1_auto,95.0
VITIS CALIFORNICA,VITIS CALIFORNICA BENTHAM,tier1_auto,95.0
VITIS CANDICANS,VITIS CANDICANS ENGELMANN,tier1_auto,95.0
VITIS CINEREA,VITIS CINEREA ENGELMANN VAR. CINEREA,tier1_auto,95.0
VITIS DOANIANA,VITIS DOANIANA MUNSON,tier1_auto,95.0
VITIS GIRDIANA,VITIS GIRDIANA MUNSON,tier1_auto,95.0
VITIS MONTICOLA,VITIS MONTICOLA BUCKLEY,tier1_auto,95.0
VITIS SHUTTLEWORTHII,VITIS SHUTTLEWORTHII HOUSE,tier1_auto,95.0
TEMPRANILLO,TEMPRANILLO TINTO,tier2_auto,95.0
SAUVIGNON,SAUVIGNON BLANC,tier2_auto,95.0
SEYVAL,SEYVAL BLANC,tier2_auto,95.0
CORVINA VERONE,CORVINA VERONESE,tier2_auto,95.0
COARNA ALB,COARNA ALBA,tier2_auto,95.0
TRESSOT,TRESSOT NOIR,tier2_auto,95.0
POULSARD,POULSARD NOIR,tier2_auto,95.0
ARAMON N,ARAMON NOIR,tier2_auto,95.0
