child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
HRUSHAKI,MSKHALI,Parent 2,SSR,SSR,24.0,35.6286915033999,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,"Half confirmation of breeder's data: confirmation of P1, new P2. Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
KARMRAHYUT,HADISI,Parent 1,SSR,SSR,24.0,47.7569391997424,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data. Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
KARMRAHYUT,BOUSCHET PETIT,Parent 2,SSR,SSR,24.0,47.7569391997424,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data. Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
KARMRASHAT,MUSCAT ROUGE DE MADERE,Parent 1,SSR,SSR,24.0,44.7698902826765,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,"Half confirmation of breeder's data: confirmation of P1, new P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
KARMRASHAT,BOUSCHET PETIT,Parent 2,SSR,SSR,24.0,44.7698902826765,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,"Half confirmation of breeder's data: confirmation of P1, new P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
KISHMISH KHISHRAU,ANGUR KALAN,Parent 1,SSR,SSR,24.0,42.9275521207459,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data. Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
KISHMISH KHISHRAU,KISHMISH CHERNYI,Parent 2,SSR,SSR,24.0,42.9275521207459,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data. Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
KISHMISH MOLDAVSKII,POBEDA,Parent 1,SSR,SSR,24.0,29.7121192645119,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
KISHMISH MOLDAVSKII,KISHMISH ROZOVYI,Parent 2,SSR,SSR,24.0,29.7121192645119,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
KUTUZOVSKII,COARNA NEAGRA,Parent 1,SSR,SSR,24.0,54.6610230031443,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
