child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
Aramon,Ouliven,,SNP (Vitis18K),SNP,~18000,3070.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3070; Mendelian errors=1 (3.0% if 0.03 else 0%); Section D; Remarks: Lacombe et al., 2013"
Attika seedless,Alphonse Lavallee,,SNP (Vitis18K),SNP,~18000,3329.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3329; Mendelian errors=1 (3.0% if 0.03 else 0%); Section D; Remarks: confirmation of breeder's data by Lacombe et al., 2013"
Attika seedless,Black monukka,,SNP (Vitis18K),SNP,~18000,3329.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3329; Mendelian errors=1 (3.0% if 0.03 else 0%); Section D; Remarks: confirmation of breeder's data by Lacombe et al., 2013"
Augster blau,Augster weiss,,SNP (Vitis18K),SNP,~18000,3243.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3243; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Lacombe et al., 2013"
Augster blau,Vulpea,,SNP (Vitis18K),SNP,~18000,3243.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3243; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Lacombe et al., 2013"
Augster weiss,Alba imputotato,,SNP (Vitis18K),SNP,~18000,3243.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3243; Mendelian errors=1 (3.0% if 0.03 else 0%); Section D; Remarks: Lacombe et al., 2013; Laucou et al., 2018"
Augster weiss,Lisztes feher,,SNP (Vitis18K),SNP,~18000,3243.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3243; Mendelian errors=1 (3.0% if 0.03 else 0%); Section D; Remarks: Lacombe et al., 2013; Laucou et al., 2018"
Balouti (Abbaye de Latroun),Cannonau (Garnacha tinta),,SNP (Vitis18K),SNP,~18000,2983.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=2983; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Lacombe et al., 2013"
Balouti (Abbaye de Latroun),Trebbiano toscano,,SNP (Vitis18K),SNP,~18000,2983.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=2983; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Lacombe et al., 2013"
Basilikum,Chasselas,,SNP (Vitis18K),SNP,~18000,3000.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3000; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Lacombe et al., 2013"
Basilikum,Pinot,,SNP (Vitis18K),SNP,~18000,3000.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3000; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Lacombe et al., 2013"
Bastardo espanhol,Heben,,SNP (Vitis18K),SNP,~18000,2828.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=2828; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Lacombe et al., 2013"
Bastardo espanhol,Trousseau noir,,SNP (Vitis18K),SNP,~18000,2828.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=2828; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Lacombe et al., 2013"
Bastardo Magaratchskii,Saperavi,,SNP (Vitis18K),SNP,~18000,3124.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3124; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Lacombe et al., 2013"
Bastardo Magaratchskii,Trousseau noir,,SNP (Vitis18K),SNP,~18000,3124.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3124; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Lacombe et al., 2013"
Bezoul el Aouda,Abouhou,,SNP (Vitis18K),SNP,~18000,3415.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3415; Mendelian errors=1 (3.0% if 0.03 else 0%); Section D; Remarks: Lacombe et al., 2013"
Bezoul el Aouda,Dedo de Dama,,SNP (Vitis18K),SNP,~18000,3415.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3415; Mendelian errors=1 (3.0% if 0.03 else 0%); Section D; Remarks: Lacombe et al., 2013"
Black monukka,Ichkimar,,SNP (Vitis18K),SNP,~18000,3489.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3489; Mendelian errors=2 (6.0% if 0.06 else 0%); Section D; Remarks: Lacombe et al., 2013"
Black monukka,Sultanina,,SNP (Vitis18K),SNP,~18000,3489.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3489; Mendelian errors=2 (6.0% if 0.06 else 0%); Section D; Remarks: Lacombe et al., 2013"
Bombino nero,Bombino bianco,,SNP (Vitis18K),SNP,~18000,3100.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3100; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Bergamini et al., 2016"
Bombino nero,Quagliano (Bouteillan),,SNP (Vitis18K),SNP,~18000,3100.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3100; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Bergamini et al., 2016"
Brachetto Migliardi,Lambrusca di Alessandria,,SNP (Vitis18K),SNP,~18000,2938.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=2938; Mendelian errors=2 (7.0% if 0.07 else 0%); Section D; Remarks: Ruffa et al., 2016"
Brachetto Migliardi,Malvasia aromatica di Parma,,SNP (Vitis18K),SNP,~18000,2938.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=2938; Mendelian errors=2 (7.0% if 0.07 else 0%); Section D; Remarks: Ruffa et al., 2016"
Bussanello,Furmint,,SNP (Vitis18K),SNP,~18000,2991.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,LOD=2991; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Raimondi et al.2017
Bussanello,Riesling italico,,SNP (Vitis18K),SNP,~18000,2991.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,LOD=2991; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Raimondi et al.2017
Cabernet sauvignon,Cabernet franc,,SNP (Vitis18K),SNP,~18000,2633.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=2633; Mendelian errors=2 (8.0% if 0.08 else 0%); Section D; Remarks: Bowers and Meredith, 1997; Sefc et al., 1997"
Cabernet sauvignon,Sauvignon blanc,,SNP (Vitis18K),SNP,~18000,2633.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=2633; Mendelian errors=2 (8.0% if 0.08 else 0%); Section D; Remarks: Bowers and Meredith, 1997; Sefc et al., 1997"
Cainho,Alvarinho,,SNP (Vitis18K),SNP,~18000,3139.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3139; Mendelian errors=4 (13.0% if 0.13 else 0%); Section D; Remarks: Díaz-Losada et al., 2011; Lacombe et al., 2013"
Cainho,Amaral,,SNP (Vitis18K),SNP,~18000,3139.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3139; Mendelian errors=4 (13.0% if 0.13 else 0%); Section D; Remarks: Díaz-Losada et al., 2011; Lacombe et al., 2013"
Calabre,Bicane,,SNP (Vitis18K),SNP,~18000,3291.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3291; Mendelian errors=2 (6.0% if 0.06 else 0%); Section D; Remarks: Lacombe et al., 2013; Laucou et al., 2018"
Calabre,Moscato bianco,,SNP (Vitis18K),SNP,~18000,3291.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3291; Mendelian errors=2 (6.0% if 0.06 else 0%); Section D; Remarks: Lacombe et al., 2013; Laucou et al., 2018"
Camarate,Alfrocheiro preto,,SNP (Vitis18K),SNP,~18000,2844.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=2844; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Zinelabidine et al., 2012; Lacombe et al., 2013; Cunha et al., 2015"
