child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
MATHIASZ 210,MUSCAT OF ALEXANDRIA,Parent 2,SSR,SSR,33,3.170e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Reported as 'Chasselas rouge de Fonce x Muscat Ottonel'; Cipriani 2010 TAG 121:1569; 33 SSR loci; mismatches=1
SELEZIONE BRUNI 54,ALEATICO,Parent 1,SSR,SSR,30,3.110e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Reported in EVDB as 'Sauvignon x Verdicchio'; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=0
SELEZIONE BRUNI 54,LACRIMA,Parent 2,SSR,SSR,30,3.110e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Reported in EVDB as 'Sauvignon x Verdicchio'; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=0
ABBOTTABOTTI,PANSE BLANCHE,Parent 1,SSR,SSR,32,2.550e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 32 SSR loci; mismatches=2
ABBOTTABOTTI,MARUGA,Parent 2,SSR,SSR,32,2.550e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 32 SSR loci; mismatches=2
ABELLO,CAPRUGNONE,Parent 1,SSR,SSR,31,1.970e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=1
ABELLO,TANNAT,Parent 2,SSR,SSR,31,1.970e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=1
AGLIANICO GRANA GROSSA,SANGIOVESE,Parent 1,SSR,SSR,31,3.040e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=2
AGLIANICO GRANA GROSSA,GUARDAVALLE,Parent 2,SSR,SSR,31,3.040e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=2
ALBARANZEULI BIANCO,GIRO,Parent 1,SSR,SSR,29,2.570e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 29 SSR loci; mismatches=2
ALBARANZEULI BIANCO,PANSE ROSA DIMALAGA,Parent 2,SSR,SSR,29,2.570e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 29 SSR loci; mismatches=2
BIANCHETTA TREVIGIANA,BRAMBANA,Parent 1,SSR,SSR,11,2.460e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 11 SSR loci; mismatches=2
BIANCHETTA TREVIGIANA,DURELLA,Parent 2,SSR,SSR,11,2.460e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 11 SSR loci; mismatches=2
CANNAMELE,GERUSALEMME,Parent 1,SSR,SSR,27,2.700e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 27 SSR loci; mismatches=1
CANNAMELE,AGLIANICO,Parent 2,SSR,SSR,27,2.700e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 27 SSR loci; mismatches=1
CAPRUGNONE,DURAGUZZA,Parent 1,SSR,SSR,31,2.000e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=0
CAPRUGNONE,ABELLO,Parent 2,SSR,SSR,31,2.000e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=0
CARRICANTE,MONTONICO PINTO,Parent 1,SSR,SSR,30,2.840e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=1
CARRICANTE,SCACCO,Parent 2,SSR,SSR,30,2.840e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=1
CASAVECCHIA,MALVASIA BIANCA DI CANDIA,Parent 1,SSR,SSR,30,2.780e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=2
CASAVECCHIA,CECUBO,Parent 2,SSR,SSR,30,2.780e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=2
CATARRATTONE,ALMERIA,Parent 1,SSR,SSR,31,4.020e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=1
CATARRATTONE,SULTANINA BIANCA,Parent 2,SSR,SSR,31,4.020e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=1
CECUBO,PIEDIROSSO,Parent 1,SSR,SSR,31,2.600e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=2
CECUBO,CASAVECCHIA,Parent 2,SSR,SSR,31,2.600e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=2
