vivc_prime_name,vivc_no,vivc_origin,vivc_species,vivc_color,vivc_parent1,vivc_parent2,in_passport,in_marker_support,in_vivc_confirmed,in_constantini_2026,in_myles_2011,in_lacombe_2013,in_oliveira_2020,in_lac_emanuelli_2020,in_laucou_2018,in_liang_2019,in_grin_pedigree,in_grin_alignment,in_ssr_vivc,in_ssr_migliaro,in_ssr_lacombe,in_ssr_oliveira,in_node_profile,n_sources,name_in_marker_support,name_in_vivc_confirmed,name_in_constantini_2026,name_in_myles_2011,name_in_lacombe_2013,name_in_oliveira_2020,name_in_lac_emanuelli_2020,name_in_laucou_2018,name_in_liang_2019,name_in_grin_pedigree,name_in_grin_alignment,grin_accession_id,grin_match_methods,is_alias,aliases,in_alias_map,passport_candidate
ISABELLA,5560,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,VITIS LABRUSCA LINNE,MESLIER PETIT,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,True,True,8,,,,,,,,,,,Isabella,PI_588207,M1_exact|M3_umlaut|M4_hybrid_spacing,True,CONSTANTIA,True,
ITALIA,5582,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,BICANE,MUSCAT HAMBURG,True,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,True,8,,,,,,,,,,,Italia,DVIT_8085,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
KERNER,6123,GERMANY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,SCHIAVA GROSSA,RIESLING WEISS,True,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,True,8,,,,,,,,,,,Kerner,DVIT_8088,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
LINDLEY,6845,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,ROUGE,CARTER,CHASSELAS BLANC,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,True,True,8,,,,,,,,,,,Lindley,PI_597126,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
MOSCATO D'ADDA,8050,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,?,MUSCAT OF ALEXANDRIA,True,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False,True,8,,,,,,,,,,,Moscato D'adda,DVIT_2109,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
MUSCAT HAMBURG,8226,UNITED KINGDOM,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,SCHIAVA GROSSA,MUSCAT OF ALEXANDRIA,True,False,True,False,True,False,True,False,False,True,True,True,False,False,False,False,True,8,,,,,,,,,,,Muscat Hamburg,DVIT_860,M1_exact|M3_umlaut|M4_hybrid_spacing,True,LAMPHEARE,True,
OLIVETTE BLANCHE,8758,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,?,ACHLADI,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,True,8,,,,,,,,,,,OLIVETTE BLANCHE,DVIT_480,M1_exact|M3_umlaut|M4_hybrid_spacing,True,CIMINNITA,True,
OSTEINER,8831,GERMANY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,RIESLING WEISS,SILVANER GRUEN,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,True,8,,,,,,,,,,,Osteiner,DVIT_2330,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
PINOTAGE,9286,SOUTH AFRICA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,CINSAUT,PINOT NOIR,True,False,True,False,False,True,True,True,True,False,False,False,False,False,True,True,False,8,,,,,,,,,,,,,,False,,False,
SERVANT,11527,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,WILDBACHER DE HONGRIE,ACHLADI,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,True,8,,,,,,,,,,,Servant,DVIT_518,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
