vivc_prime_name,n_sources,passport_candidate,in_marker_support,in_vivc_confirmed,in_constantini_2026,in_myles_2011,in_lacombe_2013,in_oliveira_2020,in_lac_emanuelli_2020,in_laucou_2018,in_liang_2019,in_grin_pedigree,in_grin_alignment,in_ssr_vivc,in_ssr_migliaro,in_ssr_lacombe,in_ssr_oliveira,in_node_profile,name_in_lacombe_2013,name_in_laucou_2018,name_in_lac_emanuelli_2020,name_in_grin_pedigree,name_in_grin_alignment,grin_accession_id
BENICARLO,2,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BEST'S M,2,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BEST'S R2 V73,2,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BIANERA,2,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BICZÖ EGON,2,BICZO EGON,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BIDH HAMEN DE RAFRAF,2,BIDH EL H'MEM (RAF RAF),False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BIEN DONNÉ,2,BIEN DONNE,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BLACK ROSE = H 3‐47,2,BLACK ROSE,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BLANC D'IRAN (CHARIF),2,BLANC D'IRAN,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BLANK BLAUER,2,BLANK WEISS,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,
BOAL DE CALHARIZ,2,BOAL DE ALICANTE MOSCATEL,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BORRAÇAL,2,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,,,,,,
BOUAKI NOR,2,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BOUCHALÈS,2,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BOUQUET RIESLING,2,NEMADEX ALAIN BOUQUET,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BOUQUET SYLVANER,2,NEMADEX ALAIN BOUQUET,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BOURDIER 2‐04‐58,2,BOURDIER 2-04-58,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BOUTEILLAN NOIR,2,ARBANE NOIR,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,
BRAGHINA,2,BRAGHINA ALBA,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,,,,
BRAGHINA = DINKA VÖRÖS,2,BRAGHINA ALBA,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BREIDER 5‐6,2,BREIDER 3-1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BRONNERSTRAUBE,2,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BURDIN  7419,2,BURDIN 7419,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
CABERNET‐MALBEC N°1,2,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
CABERNET‐MALBEC N°2,2,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
CABERNET‐MALBEC N°4,2,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
CAINHO,2,CAINHO PRETO,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,,,,
CAINHO BRANCO,2,CAINHO PRETO,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
CALABRESE MONTENUOVO,2,CALABRESE DI MONTENUOVO,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,
CALLET CAS CONCOS,2,CALLET CAS CONCOS BLANCO,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
CARDINAL = G 10‐30,2,FRUMOASA DE GHIOROC X CARDINAL,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
CASTEL   196- 17,2,CASTEL 196- 36,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
CASTEL   215-  1,2,CASTEL 215- 1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
CASTEL   216-  3,2,CASTEL 216- 3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
CASTEL   227-  1,2,CASTEL 227- 4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
CASTEL   228-  1,2,CASTEL 228- 1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
CASTEL 156-12,2,CASTEL 2812,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,
CATALAN (MAGARATCH),2,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
CG 87‐746,2,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
CHASSELAS IMPÉRIAL OBERLIN,2,CHASSELAS OBERLIN,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
CHIRVAN CHAKHI,2,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
CHIRVAN CHAKHI FAUX,2,ODJALECHI FAUX,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
CICLOPICA = PIROVANO 60,2,CICLOPICA,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
CIRCÉ,2,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
CIVIT 2,2,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
COLOMBAUD = BOUTEILLAN BLANC,2,COLOMBAUD,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
COLONEL ISIOUM,2,COLONEL FALLET,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
CONCA D'ORO = PAULSEN 152,2,CONCA D'ORO,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
CORINTHE NOIR,2,ARBANE NOIR,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,
CORTEZA NERA,2,BOSSOLERA NERA,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,
COSMO   4,2,COSMO 108,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
COSMO   7,2,COSMO 108,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
